Subject,Course,Title,Enrolled,Avg
WRDS,150B,"Writing and Research in the Disciplines",2790,74.109677419
PSYC,102,"Introduction to Developmental, Social, Personality, and Clinical Psychology",2531,71.521532991
ECON,101,"Principles of Microeconomics",2296,68.93466899
PSYC,101,"Introduction to Biological and Cognitive Psychology",2122,71.866163996
ECON,102,"Principles of Macroeconomics",2029,68.423361262
ATSC,113,"Applied Meteorology",1889,78.226045527
CHEM,121,"Structure and Bonding in Chemistry",1882,72.149840595
WRDS,150A,"Writing and Research in the Disciplines",1746,72.936426117
BIOL,121,"Genetics, Evolution and Ecology",1732,77.132794457
ENGL,110,"Approaches to Literature",1727,73.117544876
MATH,100,"Differential Calculus with Applications to Physical Sciences and Engineering",1665,63.655855856
BIOL,112,"Biology of the Cell",1604,78.493765586
CHEM,123,"Thermodynamics, Kinetics and Organic Chemistry",1574,73.213468869
MATH,101,"Integral Calculus with Applications to Physical Sciences and Engineering",1405,69.587900356
CPSC,110,"Computation, Programs, and Programming",1393,74.178750897
BIOL,200,"Fundamentals of Cell Biology",1386,72.700577201
CRWR,200,"Introduction to Creative Writing",1350,79.227407407
MATH,200,"Calculus III",1305,66.756321839
BIOL,140,"Laboratory Investigations in Life Science",1255,85.123505976
FMST,210,"Family Context of Human Development",1249,80.487590072
PHYS,131,"Energy and Waves (Lecture)",1217,78.058340181
CPSC,210,"Software Construction",1175,75.212765957
CHEM,233,"Organic Chemistry for the Biological Sciences",1173,67.494458653
CHEM,235,"Organic Chemistry Laboratory",1165,82.051502146
MATH,104,"Differential Calculus with Applications to Commerce and Social Sciences",1136,63.705985915
MATH,221,"Matrix Algebra",1100,71.860909091
SOCI,102,"Inequality and Social Change",1092,76.678571429
CPSC,121,"Models of Computation",1067,73.33552015
MATH,102,"Differential Calculus with Applications to Life Sciences",1060,69.497169811
PHYS,170,"Mechanics I",1056,75.881628788
APSC,100,"Introduction to Engineering I",1017,77.903638151
APSC,160,"Introduction to Computation in Engineering Design",1009,78.736372646
PHYS,157,"Introductory Physics for Engineers I",1007,74.735849057
MATH,105,"Integral Calculus with Applications to Commerce and Social Sciences",1006,68.880715706
EOSC,114,"The Catastrophic Earth: Natural Disasters",1005,74.71641791
DSCI,100,"Introduction to Data Science",998,81.228456914
CPSC,103,"Introduction to Systematic Program Design",960,73.641666667
COMM,298,"Introduction to Finance",956,74.758368201
STAT,200,"Elementary Statistics for Applications",954,74.030398323
CPSC,221,"Basic Algorithms and Data Structures",950,81.225263158
MATH,152,"Linear Systems",925,66.846486486
COMM,202,"Career Fundamentals",920,78.197826087
COMM,290,"Introduction to Quantitative Decision Making",911,72.316136114
EOSC,116,"Mesozoic Earth: Time of the Dinosaurs.",888,75.496621622
SOCI,101,"Social Interaction and Culture",888,72.255630631
APSC,101,"Introduction to Engineering II",884,73.778280543
PHYS,158,"Introductory Physics for Engineers II",879,62.832764505
COMM,291,"Application of Statistics in Business",877,70.737742303
COMM,292,"Management and Organizational Behaviour",872,75.600917431
PHYS,159,"Introductory Physics Laboratory for Engineers",867,84.098039216
COMM,296,"Introduction to Marketing",866,76.419168591
POLI,100,"Introduction to Politics",860,74.229069767
PHIL,220A,"Symbolic Logic",857,75.288214702
PSYC,218,"Analysis of Behavioural Data",856,69.956775701
PSYC,217,"Research Methods",851,73.130434783
COMM,294,"Managerial Accounting",849,74.83745583
COMM,395,"Business Communications",827,76.429262394
PSYC,300A,"Abnormal Psychology",816,73.495098039
BIOL,234,"Fundamentals of Genetics",815,71.747239264
PSYC,305A,"Personality Psychology",814,76.090909091
CHEM,154,"Chemistry for Engineering",813,70.856088561
PSYC,314,"Health Psychology",800,77.2275
COMM,390,"Business Writing",790,78.158227848
COMM,295,"Managerial Economics",786,74.718829517
PSYC,307,"Cultural Psychology",786,74.709923664
APSC,450,"Professional Engineering Practice",771,81.492866407
COMM,101,"Business Fundamentals",771,73.866407263
PSYC,315,"Childhood and Adolescence",765,70.691503268
MATH,103,"Integral Calculus with Applications to Life Sciences",763,62.376146789
COMM,205,"Introduction to Management Information Systems",758,75.244063325
CPSC,213,"Introduction to Computer Systems",753,73.990703851
COMM,203,"Managing the Employment Relationship",753,75.863213811
COMM,394,"Environment, Society, and Government",750,76.322666667
COMM,204,"Logistics and Operations Management",749,76.473965287
POLI,101,"The Government of Canada",744,71.293010753
MATH,256,"Differential Equations",735,68.859863946
STAT,251,"Elementary Statistics",726,73.465564738
LING,101,"Languages of the World",722,81.21468144
COMM,186E,"Topics in Business I",712,73.721910112
PSYC,302,Infancy,708,75.519774011
ANTH,100A,"Introduction to Cultural Anthropology",690,75.476811594
EOSC,118,"Earth's Treasures: Gold and Gems",689,79.204644412
CPSC,320,"Intermediate Algorithm Design and Analysis",659,74.610015175
MATH,253,"Multivariable Calculus",659,75.784522003
MATH,220,"Mathematical Proof",652,64.056748466
PSYC,309A,"Cognitive Processes",649,76.476117103
COMM,393,"Commercial Law",642,75.292834891
PHYS,100,"Introductory Physics",638,74.794670846
LING,100,"Introduction to Language and Linguistics",636,77.817610063
COMM,293,"Financial Accounting",624,76.703525641
CPSC,313,"Computer Hardware and Operating Systems",607,79.103789127
CHEM,135,"Introductory Chemical Laboratory II",600,82.391666667
BIOL,230,"Fundamentals of Ecology",593,77.478920742
ECON,355,"Introduction to International Trade",587,74.930153322
MICB,202,"Introductory Medical Microbiology and Immunology",587,76.463373083
FREN,101,"Beginners' French I",586,80.709897611
CPSC,310,"Introduction to Software Engineering",583,85.807890223
BIOL,260,"Fundamentals of Physiology",578,77.323529412
PSYC,308A,"Social Psychology",572,76.804195804
BIOL,300,"Fundamentals of Biostatistics",533,80.868667917
BIOL,111,"Introduction to Modern Biology",532,73.817669173
CLST,301,"The Technical Terms of Medicine and Biological Science",532,74.486842105
CRWR,213,"Introduction to Writing for the New Media",527,84
POLI,260,"Introduction to Global Politics",526,75.176806084
FNH,200,"Exploring Our Food",522,83.250957854
CPSC,304,"Introduction to Relational Databases",520,81.965384615
ECON,345,"Money and Banking",519,72.227360308
BIOL,155,"Human Biology: Physiology and Introductory Anatomy",519,70.001926782
SOCI,200,"Sociology of Family",516,82.463178295
PSYC,322,"Adulthood and Aging",508,74.25
ENGL,100,"Reading and Writing about Literature",502,74.420318725
SCIE,113,"First-Year Seminar in Science",500,81.12
APSC,278,"Engineering Materials",490,71.673469388
PSYC,311,"Psychology of Sport",478,74.751046025
SOCI,250,"Crime and Society",478,72.817991632
PSYC,301,"Brain Dysfunction and Recovery",475,75.833684211
COMM,370,"Corporate Finance",473,72.498942918
GRSJ,101,"Introduction to Social Justice",472,81.131355932
PHIL,333A,"Bio-Medical Ethics",468,72.987179487
MATH,307,"Applied Linear Algebra",465,70.109677419
ASIA,326,"Critical Approaches to Manga and Anime",463,77.406047516
CPSC,317,"Internet Computing",462,78.9004329
PHIL,120,"Introduction to Critical Thinking",461,79.023861171
PSYC,350A,"Psychological Aspects of Human Sexuality",460,75.169565217
JAPN,100,"Beginning Japanese IA",460,73.897826087
PSYC,208,"Contemporary Topics in Social, Developmental, Personality, and Clinical Psychology",457,71.417943107
VISA,110,"Foundation Studio: Digital Media",453,77.854304636
FNH,355,"International Nutrition",452,82.727876106
SPAN,101,"Beginners' Spanish I",445,77.721348315
MICB,201,"Introductory Environmental Microbiology",441,85.469387755
PHYS,117,"Dynamics and Waves",441,69.120181406
PHYS,119,"Experimental Physics Lab I",440,85.831818182
ECON,356,"Introduction to International Finance",440,70.120454545
CRWR,209,"Introduction to Writing Fiction",436,78.596330275
FMST,314,"Relationship Development",434,83.50921659
CPSC,322,"Introduction to Artificial Intelligence",431,70.967517401
BIOC,202,"Introductory Medical Biochemistry",430,68.172093023
GEOS,102,"Our Changing Environment: Climate and Ecosystems",419,80.3150358
CHEM,205,"Physical Chemistry",414,72.379227053
COMM,491,"Strategic Management",414,78.980676329
KIN,420,"Prevention of Sports Injuries",407,87.823095823
CLST,105,"Greek and Roman Mythology",407,73.609336609
STAT,302,"Introduction to Probability",404,68.725247525
BIOL,201,"Introduction to Biochemistry",402,77.592039801
POLI,110,"Investigating Politics: An Introduction to Scientific Political Analysis",399,74.28320802
MATH,215,"Elementary Differential Equations I",393,69.745547074
APSC,279,"Engineering Materials Laboratory",391,81.163682864
BIOL,336,"Fundamentals of Evolutionary Biology",388,80.046391753
CPSC,100,"Computational Thinking",385,83.244155844
CHIN,471,"Later Classical Chinese Poetry (Tang)",382,77.693717277
KIN,205,"Research Methods in Kinesiology",381,78.173228346
NURS,180,"Stress and Strategies to Promote Well Being",381,92.230971129
KIN,206,"Introduction to Statistics in Kinesiology",378,73.904761905
FREN,201,"Elementary French I",377,80.549071618
COMR,457,"Fundamentals of Financial Accounting",376,72.130319149
LFS,100,"Introduction to Land, Food and Community",376,90.77393617
CPSC,340,"Machine Learning and Data Mining",370,80.183783784
ASTU,100,"1st Year CAP Seminar",369,75.181571816
POLI,240,"Currents of Political Thought",368,74.394021739
LFS,250,"Land, Food and Community I: Introduction to Food Systems and Sustainability",366,79.956284153
GEOG,310,"Environment and Sustainability",365,73.178082192
MATH,184,"Differential Calculus for Social Science and Commerce",365,62.62739726
FREN,202,"Elementary French II",360,78.469444444
PHIL,101,"Introduction to Philosophy",356,72.438202247
PSYC,304,"Brain and Behaviour",356,75.283707865
GERM,100,"Beginners' German I",344,79.497093023
CONS,127,"Observing the Earth from Space",343,86.705539359
FNH,250,"Nutrition Concepts and Controversies",343,77.83090379
SOCI,217,"Research Methods",343,69.865889213
STAT,300,"Intermediate Statistics for Applications",343,81.303206997
EOSC,310,"The Earth and the Solar System",342,76.236842105
KIN,232,"Nutrition, Physical Activity, and Health",341,87.005865103
CRWR,206,"Introduction to Writing for the Screen",336,77.074404762
COMR,329,"Principles of Organizational Behaviour",336,77.717261905
CHEM,211,"Introduction to Chemical Analysis",334,75.694610778
CRWR,230,"Introduction to Writing for Comedic Forms",333,84.624624625
FMST,312,"Parent-child Relationships",333,79.354354354
CRWR,201,"Introduction to Writing Poetry",332,78.843373494
KIN,424,"Medical Aspects of Sport and Exercise",332,84.921686747
ELEC,201,"Circuit Analysis I",327,64.79204893
SOCI,310,"Canadian Society",327,70.896024465
ECON,301,"Intermediate Microeconomic Analysis I",325,70.196923077
CHIN,473,"Later Classical Chinese Poetry (after Tang)",325,75.633846154
EOSC,110,"The Solid Earth: A Dynamic Planet",324,77.055555556
BASC,550,Operations,324,82.50617284
FRST,303,"Principles of Forest Science",322,96.900621118
CPEN,211,"Introduction to Microcomputers",321,73.152647975
BA,562,Creativity,318,83.238993711
PHIL,102,"Introduction to Philosophy II",315,75.86031746
BIOC,302,"General Biochemistry",314,73.630573248
COGS,200,"Introduction to Cognitive Systems",311,70.98392283
ECON,255,"Understanding Globalization",310,78.809677419
FIST,100,"Introduction to Film Studies",309,75.213592233
CHIN,481,"Modern Chinese Literature I (Heritage)",308,76.36038961
GEOS,103,"Our Changing Environment: Water and Landscapes",307,76.693811075
ENGL,200,"Principles of Literary Studies",304,77.756578947
FREN,102,"Beginners' French II",304,79.5625
FNH,330,"Introduction to Wine Science 1",299,80.531772575
MECH,360,"Mechanics of Materials",298,68.456375839
BIOL,204,"Vertebrate Structure and Function",297,71.919191919
EOSC,112,"The Fluid Earth: Atmosphere and Ocean",296,74.027027027
FMST,316,"Human Sexuality",296,76.307432432
PSYC,207,"Contemporary Topics in Biological and Cognitive Psychology",296,73.216216216
MATH,180,"Differential Calculus with Physical Applications",294,57.238095238
KIN,150,"Sport and Exercise Psychology",293,79.102389078
CPSC,404,"Advanced Relational Databases",293,79
HIST,103,"World History Since 1900",293,72.109215017
PSYC,306A,"Principles of Animal Behaviour",291,70.319587629
ANTH,203,"Anthropology of Drugs",290,73.065517241
ELEC,221,"Signals and Systems",289,69.346020761
ENGL,111,"Approaches to Non-fictional Prose",289,79.408304498
CNTO,311,"Basic Cantonese for Mandarin Speakers",289,79.968858131
LLED,200,"Introduction to Writing in Academic and Professional Registers",286,73.853146853
MATH,264,"Vector Calculus for Electrical Engineering",286,69.234265734
COMR,465,"Marketing Management",283,76.71024735
MECH,260,"Introduction to Mechanics of Materials",283,72.385159011
SOCI,301,"Sociology of Development and Underdevelopment",283,75.402826855
ECON,302,"Intermediate Macroeconomic Analysis I",280,73.925
BIOL,371,"Principles of Neurobiology I",278,80.949640288
STAT,305,"Introduction to Statistical Inference",277,76.223826715
MATH,340,"Introduction to Linear Programming",274,62.97810219
CRWR,208,"Introduction to Writing for Graphic Forms",273,78.835164835
PCTH,325,"Rational Basis of Drug Therapy",273,85.835164835
COMM,371,"Investment Theory",271,76.346863469
CIVL,215,"Fluid Mechanics I",269,71.899628253
BIOL,335,"Molecular Genetics",268,68.888059701
CHIN,483,"Modern Chinese Literature II (Heritage)",268,76.246268657
GEOG,121,"Geography, Environment and Globalization",267,71.292134831
CONS,200,"Foundations of Conservation",267,75.059925094
KIN,345,"Foundations of Coaching",267,92.595505618
KIN,313,"Neuromuscular Integration of Human Movement",265,72.411320755
KIN,211,"Human Motor Behaviour I",264,75.973484848
KIN,160,"Leisure and Sport in Society",264,78.28030303
GERM,433,"German for Reading Knowledge I",264,78.143939394
CRWR,310,"Video Game Writing and Narrative",264,75.159090909
CPSC,425,"Computer Vision",263,76.885931559
EOSC,111,"Laboratory Exploration of Planet Earth",262,92.702290076
MATH,317,"Calculus IV",262,71.122137405
ECON,326,"Methods of Empirical Research in Economics",261,72.965517241
BA,515,"Fundamentals of Analytics and Tech",260,85.319230769
LASO,204,"Introduction to Law and Society",259,86.328185328
COMM,335,"Information Systems Technology and Development",258,77.720930233
LFS,350,"Land, Food, and Community II: Principles and Practice of Community Food Security",258,84.054263566
FNH,350,"Fundamentals of Nutrition",258,77.003875969
KIN,131,"Systems Physiology I",257,78.871595331
APBI,200,"Introduction to Soil Science",256,69.43359375
PHIL,331A,"Business and Professional Ethics",256,76.30078125
KIN,411,"Neuroanatomy of Human Movement",254,80.720472441
KIN,216,"Biomechanics I",253,81.292490119
BIOL,205,"Comparative Invertebrate Zoology",253,76.110671937
FNH,351,"Vitamins, Minerals, and Health",252,77.51984127
SPAN,102,"Beginners' Spanish II",252,75.023809524
KIN,120,"Health and Exercise Management",250,72.792
MATH,302,"Introduction to Probability",249,74.004016064
KIN,235,"Exercise Physiology I",249,74.321285141
CRWR,203,"Introduction to Writing for Children and Young Adults",248,77.383064516
GRSJ,300,"Intersectional Approaches to Thinking Gender",247,86.412955466
CHBE,244,"Chemical and Biological Engineering Thermodynamics I",247,66.591093117
CENS,202,"Great Works of Literature from Central, Eastern and Northern Europe (in English).",247,77.417004049
ECON,490,"Seminar in Applied Economics",246,82.264227642
CNPS,433,"The Personal and Social Development of the Adult",246,86.073170732
KIN,132,"Systems Physiology II",244,68.991803279
CHEM,203,"Introduction to Organic Chemistry",244,67.008196721
CPSC,330,"Applied Machine Learning",244,81.040983607
POLI,380,"Quantitative Methods in Political Science",244,70.848360656
COMM,363,"Marketing Analysis",243,79.502057613
ITAL,101,"Beginners' Italian I",242,77.70661157
COMM,365,"Market Research",241,77.796680498
MATH,316,"Elementary Differential Equations II",241,68.190871369
VISA,180,"Foundation Studio: Approaches to Media",241,77.20746888
ECON,371,"Economics of the Environment",240,77.220833333
COMM,362,"Consumer Behaviour",239,78.313807531
POLI,375A,"Global Environmental Politics",239,77.744769874
KIN,110,"Human Anatomy",238,66.558823529
CAPS,391,"Introduction to Gross Human Anatomy",238,69.470588235
CPEN,221,"Software Construction I",238,72.390756303
EOSC,315,"The Ocean Ecosystem",238,79.584033613
PSYC,216,"Questioning Psychological Science in the Media",237,71.544303797
CHIN,485,"Contemporary Chinese Fiction in Film",235,76.90212766
COMM,374,"Applied Financial Markets",234,74.786324786
BASC,523,"Supply Chain Management",234,82.782051282
CNPS,363,"Career Counselling",234,84.982905983
CHBE,251,"Transport Phenomena I",234,71.923076923
SPAN,201,"Elementary Spanish I",234,69.64957265
COMM,353,"Financial Accounting: Intermediate I",233,75.180257511
GEOS,270,"Geographic Information Science",232,77.762931034
PHIL,230A,"Introduction to Ethics",232,75.918103448
STAT,306,"Finding Relationships in Data",231,77.705627706
KIN,262,"Health Policy and Society",231,78.995670996
ECON,311,"Principles of Macroeconomics",230,74.52173913
CHBE,241,"Material and Energy Balances",230,74.42173913
LFS,150,"Scholarly Writing and Argumentation in Land and Food Systems",229,78.576419214
BUSI,335,"Information Systems",229,71.991266376
CAPS,301,"Human Physiology",228,75.574561404
CHEM,245,"Intermediate Synthetic Chemistry Laboratory",227,78.86784141
COMM,354,"Cost Accounting",227,72.63876652
BUSI,293,"Introductory Financial Accounting",227,71.977973568
FRST,302,"Forest Genetics",227,88.246696035
ASIA,325,"Hong Kong Cinema",226,77.030973451
CPSC,314,"Computer Graphics",225,83.226666667
BIOL,325,"Introduction to Animal Mechanics and Locomotion",225,74.924444444
CIVL,316,"Hydrology and Open Channel Flow",225,73.502222222
PSYC,367,"Sensory Systems",223,74.470852018
SOCI,369,"Sociology of Sexualities",223,78.210762332
GEOG,122,"Geography, Modernity and Globalization",222,72.166666667
CONS,101,"Introduction to Conservation",222,86.608108108
COMM,280,Entrepreneurship,222,75.189189189
MATH,255,"Ordinary Differential Equations",220,69.609090909
PHRM,141,"Seminar: Pharmacists in Practice I",220,98.672727273
PHRM,100,"Foundations of Pharmacy",218,83.032110092
CIVL,210,"Soil Mechanics I",218,71.733944954
CHEM,213,"Organic Chemistry",218,67.899082569
ECON,310,"Principles of Microeconomics",216,76.916666667
COMR,473,"Business Finance",216,70.268518519
KIN,320,"Exercise Testing and Prescription",216,83.791666667
FRST,150,"Scholarly Writing and Argumentation in Forestry",216,76.37962963
CHIN,131,"Basic Chinese I: Part 1 (Non-Heritage)",216,77.324074074
ENGL,392,"Children's Literature",215,73.702325581
CIVL,250,"Engineering and Sustainable Development",215,86.604651163
PHRM,111,"Medication Management I",215,80.772093023
PHRM,161,"Technology in Healthcare",215,92.437209302
PSYC,320A,"Psychology of Sex Differences",215,77.139534884
CPEN,333,"System Software Engineering",214,78
BAHR,507,"Two-Party Negotiations",214,81.172897196
ARCL,228,"Forensic Anthropology",213,72.319248826
BUSI,355,"Introduction to Income Tax",213,73.530516432
PHRM,261,"Indigenous Health and Cultural Safety",213,98.910798122
PHRM,312,"Medication Management V",213,80.366197183
PHRM,351,"Practice Management and Leadership",213,87.507042254
PHRM,361,"Clinical Skills: Administration of Injections",213,91.600938967
SOCI,361,"Social Inequality",213,75.596244131
PHRM,131,"Study Design and Interpretation I",212,92.235849057
PHRM,311,"Medication Management IV",212,81.783018868
