Subject,Course,Title,Enrolled,Avg
BMEG,210,"Thermodynamics in Biomedical Engineering",118,75.677966102
ASIA,250,"Introduction to Buddhism",118,80.372881356
CPEN,322,"Software Construction II",118,75.991525424
CPEN,291,"Computer Engineering Design Studio I",118,85.152542373
ECON,442,"Issues in Economic Development",118,78.5
BUSI,400,"Residential Property Analysis",118,79
FRST,385,"Watershed Hydrology",118,68.601694915
ENGL,490,"Literature Majors Seminar",117,80.982905983
MUSC,154A,"University Choral Union",117,89.700854701
STAT,406,"Methods for Statistical Learning",117,80.88034188
NURS,353,"Promoting the Health of Indigenous People",116,91.206896552
SOCI,224,"Sociology of Personal Life",116,77.568965517
SPPH,400,"Statistics for Health Research",116,82.810344828
CHEM,301,"Aqueous Environmental Chemistry",116,76.982758621
ANTH,227,"Introduction to Medical Anthropology",116,76.137931034
DSCI,522,"Data Science Workflows",116,95.922413793
ENGL,229,"Topics in the Study of Language and/or Rhetoric",116,79.129310345
CPSC,410,"Advanced Software Engineering",116,81.724137931
ASIA,311,"Tibetan Buddhism",116,76.948275862
ASIA,320,"History of Early China",116,78.310344828
BALA,503,"Commercial Law",116,82.560344828
KIN,435,"Pulmonary Physiology of Exercise",116,78.068965517
ELEC,481,"Economic Analysis of Engineering Projects",115,71.669565217
BMEG,250,"Cellular  Physiology  and Biophysics",115,81.495652174
BUSI,291,"Application of Statistics in Business",115,71.165217391
FREN,302,"Intermediate French II",115,82.530434783
CHBE,346,"Chemical and Biological Engineering Thermodynamics II",115,76.747826087
GEOG,314,"Analysing Environmental Problems",115,77.234782609
NURS,430,"Theoretical Perspectives in Nursing: Special Topics in Complex and Urgent Health Challenges across Settings/Populations",115,92.495652174
WOOD,225,"Communications Strategies",114,74.649122807
DSCI,575,"Advanced Machine Learning",114,94.184210526
DSCI,574,"Spatial and Temporal Models",114,93.666666667
DSCI,562,"Regression II",114,95.868421053
DSCI,553,"Statistical Inference and Computation II",114,96.605263158
DSCI,542,"Communication and Argumentation",114,95.587719298
DSCI,541,"Privacy, Ethics, and Security",114,92.763157895
DSCI,532,"Data Visualization II",114,96.824561404
DSCI,525,"Web and Cloud Computing",114,98.350877193
DSCI,524,"Collaborative Software Development",114,97.473684211
APPP,502,"Sustainability and Leadership",114,81.087719298
ENGL,372,"Canadian Literature",114,76.833333333
ARTH,101,"Ways of Seeing: Introduction to Visual Studies",114,79.315789474
BIOC,303,"Molecular Biochemistry",114,73.51754386
BMEG,257,"Biomedical Engineering Design I",113,86.407079646
CPSC,312,"Functional and Logic Programming",113,81.973451327
COMM,475,"Investment Policy",113,79.14159292
COMM,437,"Database Technology",113,80.203539823
KIN,316,"Biomechanical Properties of Tissues",113,74.539823009
CHBE,456,"Heterogenous Catalysis and Advanced Reactor Design",113,78.743362832
GRSJ,224F,"Gender, Race, Sexuality, and Social Justice in Literature",113,64.469026549
PSYC,421,"Environmental Psychology",113,79.150442478
CHEM,313,"Advanced Organic Chemistry for the Life Sciences",112,62.5
BMEG,101,"Introduction to Biomedical Engineering",112,83.071428571
CPSC,430,"Computers and Society",112,80.044642857
CPEN,281,"Technical Communication",112,71.651785714
MECH,368,"Engineering Measurements and Instrumentation",111,71.054054054
CRWR,309,"Intermediate Writing Fiction",111,77.171171171
CPSC,416,"Distributed Systems",111,90
BA,511,"Community Business Project",111,83.405405405
KIN,140,"Lifespan Motor Development",111,78.342342342
MICB,308,"Paradigms in Bacterial Pathogenesis",111,75.207207207
MICB,325,"Analysis of Microbial Genes and Genomes",111,78.126126126
STAT,203,"Statistical Methods",111,74.027027027
MTRL,280,"Materials in Design",110,68.790909091
PHIL,330A,"Social and Political Philosophy",110,76.218181818
BMEG,102,"Biomedical Engineering Lab",110,83.318181818
BMEG,201,"Technical Communication for Biomedical Engineers",110,84.345454545
GEOS,370,"Advanced Geographic Information Science",110,73.690909091
GEOS,372,Cartography,110,75.027272727
CHIN,133,"Basic Chinese I: Part 2 (Non-Heritage)",110,76.663636364
MECH,226,"Technical Communication for Mechanical Engineers",109,77.027522936
BIOL,209,"Biodiversity of Algae, Fungi and Bryophytes",109,79.321100917
CHBE,362,"Process Engineering Laboratory",109,89.183486239
ARTH,102,"Crisis and Contradiction in Art and the Built Environment",108,70.194444444
ASIA,319,"Contemporary Chinese Popular Cultures",108,80.185185185
BA,564,"Leadership Development",108,82.814814815
BA,580B,"Topics in Business Administration",108,83.888888889
BAPA,560,"Foundations of Managerial and Business Economics",107,82.252336449
CHBE,464,"Chemical and Biological Engineering Laboratory",107,86.757009346
PHIL,321A,"Induction, Decision and Game Theory",107,74.448598131
PHYS,403,"Statistical Mechanics",107,73.560747664
STAT,545A,"Exploratory Data Analysis",107,95.074766355
WRDS,350,"Knowledge-Making in the Disciplines",106,72.490566038
BMEG,357,"Biomedical  Engineering Design II",106,81.018867925
ASTU,101,"Writing for Research in the Social Sciences and the Humanities",106,68.339622642
GERM,110,"Beginners' German II",106,77.679245283
ANTH,378,"Anthropology of Media",105,73.771428571
CHEM,341,"Global Challenges: A Chemical Perspective",105,74.619047619
ASIA,314,"Premodern Japan",105,67.20952381
BMEG,350,"Human Structure/Function from Cells to Systems",105,74.314285714
ETEC,512,"Applications of Learning Theories to the Analysis of Instructional Settings",105,87.123809524
DES,200,"Design Thinking",104,78.019230769
DES,130,"Design, Culture and Ecology",104,80.192307692
ELEC,401,"Analog CMOS Integrated Circuit Design",104,92.865384615
ECON,441,"The Process of Economic Development",104,77.576923077
LAW,476,Evidence,104,73.288461538
ETEC,510,"Design of Technology- Supported Learning Environments",104,94.057692308
MUSC,119,"Introduction to Music Technology",104,72.826923077
PCTH,201,"Drugs and Society",104,79.971153846
SCIE,300,"Communicating Science",104,82.355769231
GEOG,250,Cities,103,76.582524272
MECH,380,"Fluid Dynamics",103,73.009708738
CHEM,335,"Chemistry Integrated Laboratory II",103,82.029126214
BMEG,321,"Biomedical Instrumentation",103,87.650485437
CNRS,104,"Temples, Tombs, and Tyrants: The Archaeology of the Middle East, Greece, and Rome",103,76.961165049
AFST,250A,"Introduction to African Studies",102,78.5
ELEC,391,"Electrical Engineering Design Studio II",102,74.754901961
HIST,432,"International Relations in the Twentieth Century",102,76.62745098
BMEG,371,"Transport Phenomena within Cells and Tissues",102,75.37254902
CPEN,391,"Computer Engineering Design Studio II",102,85.441176471
LING,311,"Studies in Phonology",102,70.558823529
BUSI,493,"Strategic Management in Business",102,75.862745098
PHTH,565,"Clinical Practice VIb",102,82.156862745
POLI,370C,"Issues in International Conflict Management",102,84.323529412
THTR,130,"Introduction to Stage Acting",102,84.450980392
PHIL,100,"Introduction to Philosophy",101,73.782178218
PHTH,531,"Pathology for Physical Therapy III",101,85.485148515
PHTH,544,"Clinical Practice IVa",101,89.356435644
PHTH,545,"Clinical Practice IVb",101,83.108910891
PSYC,361,"Neuroscience of Motivation",101,72.465346535
VISA,210,"Digital Arts",101,79.079207921
GEOG,311,"Urban Environments",101,77.900990099
ASIA,110,"Introduction to Religions in Asia",101,66.336633663
ASIA,305,"Asian Horror Cinema: National Nightmares and Specters of Trauma",101,76.613861386
CPSC,302,"Numerical Computation for Algebraic Problems",101,78.386138614
COMM,439,"Business Telecommunications",101,78.554455446
BA,504,"Business Strategy Integration: Foundation",101,82.415841584
BAEN,540,"Strategy & Innovation",101,82.316831683
GRSJ,224C,"Gender, Race, Sexuality, and Social Justice in Literature",101,77.930693069
ANAT,392,"Gross Anatomy of the Limbs and Trunk",100,84.22
ECED,401,"Supporting Young Children's Health and Well-Being in Early Childhood Settings",100,84.83
COMM,464,"Digital Marketing",100,86.32
BUSI,401,"Commercial Property Analysis",100,71.13
PHTH,511,"Pathology for Physical Therapy I",100,89.23
PHTH,514,"Clinical Practice I",100,83.22
PHTH,516,"Clinical Decision-Making I",100,96.05
PHTH,517,"Exercise and Movement I",100,88.2
POLI,369B,"Issues in International Security",100,79.5
POLI,369D,"Issues in International Security",100,84.98
PSYC,278,"Analysis of Behavioural and Neuroscientific Data",100,79.96
RELG,201,"Near Eastern and Biblical Mythology",100,75.59
MTRL,264,"Transport Phenomena II - Heat Transport",99,73.666666667
PHTH,521,"Pathology for Physical Therapy II",99,90.919191919
PHTH,526,"Clinical Decision Making II",99,92.888888889
PHTH,527,"Exercise and Movement II",99,88.666666667
PHTH,528,"Case-based Integration",99,89.171717172
POLI,320A,"Government and Politics of the United States of America",99,77.96969697
PSYC,270,"Introduction to Behavioural Neuroscience",99,79.868686869
PSYC,277,"Behavioural and Neuroscientific Research Methods",99,78.737373737
RHSC,420,"Elements of Neuroanatomy and Neurophysiology",99,88.171717172
ANTH,213,"Sex, Gender, and Culture",99,71.262626263
ECON,327,"Introduction to Empirical Methods",99,81.737373737
MECH,392,"Manufacturing Processes",99,71.646464646
BMEG,310,"Introduction to Bioinformatics",99,78.98989899
FIST,300,"Cult Cinema",99,85.747474747
HIST,235,"History of Canada: Moments that Matter",99,74.646464646
FNH,398,"Research Methods in Human Nutrition",99,77.787878788
BIOC,410,"Nucleic Acids-Structure and Function",99,71.505050505
KIN,364,"The Modern Olympics: Power, Politics, and Performance",99,83.595959596
HIST,104A,"Topics in World History",99,75.747474747
BIOL,370,"Principles of Muscle Physiology and Energetics",99,84.616161616
GEOG,352,"Urbanization in the Global South",99,76.303030303
ECON,315,"Intermediate Microeconomics I",98,69.224489796
CPEN,491,"Computer Engineering Capstone Design Project",98,83.683673469
COGS,401,"Seminar in Cognitive Systems",98,80.326530612
FMST,238,"Family Resource Management",98,75.214285714
BASM,502,"Corporate Strategy",98,82.06122449
SPPH,381C,"Selected Topics",98,91.397959184
THTR,210,"Drama: Forms and Ideas I",98,78.081632653
POLI,370A,"Issues in International Conflict Management",97,77.690721649
PSYC,370,"Behavioural Neuroscience I",97,83.288659794
SOWK,200,"Introduction to Social Welfare",97,77.515463918
GEOG,312,"Climate Change: Science and Society",97,74.804123711
ECON,309,"Intermediate Open Economy Macroeconomics",97,82.412371134
ECON,328,"Methods of Empirical Research",97,69.298969072
LIBR,507,"Methods of Research and Evaluation in Information Organizations",97,84.577319588
BIOL,306,"Advanced Ecology",97,74.762886598
ECON,351,"Women in the Economy",96,76.0625
MATH,318,"Probability with Physical Applications",96,73.25
HIST,391,"Human Rights in World History",96,77.958333333
LING,313,"Introduction to Linguistic Phonetics and Speech Science",96,79.479166667
LING,222,"Language Acquisition",96,75.885416667
HIST,105B,"Contemporary Global Issues in Historical Perspective",96,76.697916667
GRSJ,224B,"Gender, Race, Sexuality, and Social Justice in Literature",96,78.447916667
MTRL,263,"Transport Phenomena I - Fluid Mechanics",96,73.59375
MUSC,323,"History of Popular Music",96,84.9375
PHIL,250,"Minds and Machines",96,73.083333333
RELG,203,"Scriptures of the Near East",96,75.572916667
UFOR,100,"Greening the City",96,79.520833333
POLI,344A,"Social and Political Thought",95,75.568421053
SOCI,387,"Drugs and Society",95,75.810526316
STAT,321,"Stochastic Signals and Systems",95,68.705263158
GEOG,319,"Environmental Impact Assessment",95,74.242105263
ECED,400,"Introduction to Early Childhood Education and Care",95,79.621052632
MATH,400,"Applied Partial Differential Equations",95,69.378947368
ARTS,1A,"Arts One",95,77.052631579
LIBR,506,"Human-Information Interaction",95,85.526315789
JAPN,201,"Beginning Japanese II B",95,73.747368421
ELEC,341,"Systems and Control",94,70.425531915
LIBR,509,"Foundations of Resource Description and Knowledge Organization",94,82.085106383
ATSC,201,"Meteorology of Storms",94,80.521276596
ETEC,500,"Research Methodology in Education",94,87.510638298
MICB,401,"Environmental Microbiology Laboratory",94,93.340425532
NURS,290,"Health Impacts of Climate Change",94,85.946808511
PHYS,219,"Intermediate Experimental Physics I",94,80.776595745
PLAN,221,"City Visuals",94,81
POLI,372A,"Multinational Corporations and Globalization",94,76.510638298
PSYC,368,"Perceptual Processing",94,71.808510638
SPPH,500,"Analytical Methods in Epidemiological Research",94,83.404255319
MTRL,340,"Manufacturing in Materials Engineering",93,64.860215054
PSYC,371,"Behavioural Neuroscience II",93,83.365591398
SPPH,300,"Working in International Health",93,85.677419355
SPPH,301,"Understanding the Sociocultural Determinants of the Health of Populations",93,86.677419355
URST,200,Cities,93,73.548387097
MECH,358,"Engineering Analysis",93,67.35483871
EOSC,211,"Computer Methods in Earth, Ocean and Atmospheric Sciences",93,77.817204301
ASIA,367,"Contemporary Korean Culture",93,75.591397849
LIBR,508,"Information Practices in Contemporary Society",93,88.096774194
ECON,456,"International Macroeconomics and Finance",93,77.731182796
BAFI,500,"Introductory Finance",93,83.731182796
KIN,311,"Sensorimotor Control of Human Movement",93,71.52688172
FREN,402,"Upper-Intermediate French II",93,81.666666667
ANTH,205,"The Anthropology of Insurrections and Revolution",92,71.967391304
ECON,316,"Intermediate Microeconomics II",92,80.489130435
DES,110,"Measured Architectural Drawing",92,80.880434783
ENVR,200,"Introduction to Environmental Science",92,78.27173913
ECON,494,"Seminar in Applied International Economics",92,83.456521739
GEOG,327,"Creating Canada",92,73.25
CPSC,422,"Intelligent Systems",91,74.241758242
CONS,370,"Aboriginal Forestry",91,80.32967033
COMM,377,"International Financial Markets and Institutions",91,77.549450549
ITAL,102,"Beginners' Italian II",91,76.879120879
FRST,307,"Biotic Disturbances",91,76.197802198
POLI,308A,"Issues in Canadian Politics",91,76.879120879
SPPH,302,"Topics in Health Informatics for Health/Life Sciences Students",91,85.912087912
POLI,302A,"Public Administration",90,73.577777778
POLI,328C,"Topics in Comparative Politics",90,77.222222222
SOCI,370,"Sociological Theories: Classical and Contemporary Approaches",90,66.577777778
VISA,241,"Digital Photography",90,81.322222222
CPSC,319,"Software Engineering Project",90,87.766666667
ECON,493,"Advanced Empirical Methods for International Economics",90,76.033333333
BIOC,304,"Contemporary Biochemical Research",90,80.011111111
KIN,363,"Leisure, Sport and Popular Culture",90,82.288888889
CRWR,312,"Interactive Storytelling",89,78.887640449
BIOL,458,"Developmental Neurobiology",89,80.112359551
PATH,375,"Introduction to Human Pathology",89,84.606741573
PHIL,313,"Medieval Philosophy",89,78.426966292
PHYS,229,"Intermediate Experimental Physics II",89,82.359550562
POLI,334,"Comparative Democratization",89,74.741573034
SOCI,342,"Consumers and Consumption",88,74.647727273
STAT,545B,"Exploratory Data Analysis",88,95.75
CRWR,306,"Intermediate Writing for the Screen",88,78.954545455
CPSC,311,"Definition of Programming Languages",88,80.863636364
CPSC,303,"Numerical Approximation and Discretization",88,68.943181818
CPEN,400D,"Topics in Computer Engineering",88,86.090909091
ASL,100,"American Sign Language and Deaf Culture I",88,82.409090909
ECON,367,"Economic Analysis of Law",87,81.068965517
MECH,305,"Data Analysis and Mechanical Engineering Laboratories",87,70.551724138
ASTU,204A,"Topics in Interdisciplinary Arts Studies",87,68.586206897
ECON,485,"Political Economy",87,76.67816092
KORN,102,"Basic Korean",87,72.942528736
BIOL,210,"Vascular Plants",87,72.413793103
CENS,303B,"Representations of the Holocaust (in English)",87,80.908045977
SOCI,360,"Sociology and Natural Resources",87,81.137931034
MICB,447,"Experimental Molecular Biology",86,88.965116279
MUSC,156A,"Vocal Chamber Ensembles",86,93.686046512
SOCI,380,"Sociological Methods: Survey Research",86,90.418604651
SOCI,382,"Sociological Methods: Qualitative Research",86,75.38372093
UFOR,402,"Urban Forestry Administration, Policy and Law",86,79.38372093
MATH,217,"Multivariable and Vector Calculus",86,73.034883721
BAEN,505,"Entrepreneurial Finance",86,79.953488372
HIST,220A,"History of Europe",86,73.581395349
ENGL,245,"Comics and Graphic Media",85,75.458823529
COMM,471,"Mergers and Acquisitions",85,83.211764706
LAW,455,"Real Estate Transactions",85,73.611764706
LAW,451,Trusts,85,72.094117647
LAW,359,"Family Law",85,71.117647059
GEOG,329,"Political Geography",85,72.141176471
PHYS,203,"Thermal Physics I",85,68.529411765
PHYS,216,"Intermediate Mechanics",85,70.788235294
PHYS,408,Optics,85,67.705882353
PSYC,404,"Psychology of Religion",85,77.682352941
VANT,140C,"Content and Language Enrichment Tutorials",85,71.776470588
WRDS,150,"Writing and Research in the Disciplines",85,68.670588235
MICB,322,"Molecular Microbiology Laboratory",84,84.261904762
POLI,367B,"International Relations Theory and the International System",84,74.476190476
FNH,415,"Business Concepts in Food, Nutrition, and Health",84,83.654761905
COMM,470,"Venture Capital",84,80.452380952
COMM,467,"Brand Management",84,80.738095238
APBI,490,"Advanced Topics in Applied Biology",83,90.891566265
LING,170,"Introduction to How to Learn a Language",83,77.662650602
COMM,452,"Taxes and Decision Making",83,77.554216867
COMM,443,"Service Operations",83,83.445783133
COMM,336,"Introduction to Digital Business",83,78.445783133
CHIN,493,"Classical Chinese II (Heritage)",83,78.168674699
CHEM,100,"Foundations of Chemistry",83,64.686746988
POLI,360A,"Security Studies",83,67.819277108
RUSS,101,"Basic Russian I",82,86.573170732
SOCI,372,"Contemporary Directions in Theory",82,73.512195122
ECON,384,"Economic Analysis of Health Services",82,75.695121951
CPSC,203,"Programming, Problem Solving, and Algorithms",82,88.073170732
FREN,311,"Introduction to Literature in French",82,81.085365854
JRNL,100A,"New Media and Society",82,82.195121951
GRSJ,224A,"Gender, Race, Sexuality, and Social Justice in Literature",82,88.097560976
FRST,320,"Abiotic Disturbances: Fire and Climate",82,81.62195122
COMM,307,"Real Estate Investment",81,76.345679012
CHBE,366,"Chemical Engineering Laboratory",81,82.012345679
GEOG,357,"Society, Culture & Space",81,74.75308642
PHYS,401,"Electromagnetic Theory",81,84.654320988
MICB,323,"Molecular Immunology and Virology Laboratory",80,83.3125
FRST,495,"Biological Diversity and Forest Management",80,80.775
ECON,390,"Introduction to Economic Research",80,69.9125
ENGL,243,"Speculative Fiction",80,75.2125
ENGL,301,"Technical Writing",80,79.85
ENGL,378,"Contemporary Literature",80,76.9
EOSC,270,"Marine Ecosystems",80,81.75
ECON,425,"Introduction to Econometrics",80,74.575
LAW,463,"Securities Regulation",80,71.7
FNH,402,"Functional Foods",80,81.4
CHIN,231,"Basic Chinese II: Part 1 (Non-Heritage)",80,76.0125
MATH,344,"Mathematical Game Theory",79,76.810126582
EOSC,314,"The Ocean Environment",79,68.594936709
ATSC,313,"Renewable Energy Meteorology",79,77.658227848
COEC,371,"Investment Theory",79,75.632911392
FIST,220,"Hollywood Cinema 1930-1960",79,75.873417722
GEOS,200,"Atmospheric Environments",79,78.215189873
CHEM,218,"Fundamentals of Reactivity in Inorganic Chemistry",79,66.17721519
CHEM,300,"Communicating Chemistry",78,82.91025641
MECH,327,"Thermodynamics II",78,74.358974359
ASIA,382,"Buddhism in China",78,80.397435897
ASIA,392,"Classical Persian Literature in English Translation",78,79.705128205
CPEN,212,"Computing Systems II",78,73.08974359
LING,314,"Instrumental Phonetics",78,86.935897436
ECON,471,"Economics of Nonrenewable Resources",78,80.769230769
FIST,240,"Media Industries",78,77.064102564
BIOL,362,"Cellular Physiology",78,81.307692308
MUSC,300,"Compositional and Analytical Approaches to Post-Tonal Music",78,84.705128205
SOCI,290,"Global Pandemics",77,72.506493506
