Subject,Enrolled,"Overall Average"
AANB,11,92.727272727
ACAM,190,80.13157894745262
ADHE,777,81.07722007723939
AFST,196,77.5612244897959
ANAT,108,85.03703703703704
ANTH,2904,75.43319559218699
APBI,1504,80.16223404252061
APPP,356,82.74438202239327
APSC,5430,77.18324125213371
ARBC,103,81.9805825244466
ARCH,1059,84.72521246460339
ARCL,787,73.81194409136849
ARST,368,85.67391304347282
ARTH,1337,78.82647718773522
ARTS,95,77.052631579
ASIA,4760,77.13088235288677
ASIC,43,84.279069767
ASL,110,82.709090909
ASTR,871,77.41216991960736
ASTU,614,73.93973941402767
ATSC,2068,78.29690522268908
AUDI,1112,87.19874100710521
BA,1641,83.23705057894271
BAAC,446,81.8295964126121
BABS,424,86.02122641491745
BAEN,665,81.78496240592781
BAFI,522,83.23563218388121
BAHR,423,82.30732860503545
BAIT,425,85.00941176464
BALA,116,82.560344828
BAMA,996,83.3815261045512
BAMS,291,81.137457044622
BAPA,273,82.28571428607691
BASC,748,82.93716577557487
BASM,419,83.24105011955848
BAUL,84,85.40476190464285
BEST,196,83.05612244888266
BIOC,1823,75.53154141510807
BIOF,49,94.3673469384898
BIOL,14897,77.9187755923909
BMEG,2372,82.22892074202996
BOTA,34,89.82352941182353
BUSI,3427,72.8505981909031
CAPS,840,76.09880952384167
CCST,8,92.5
CDST,24,73.2083333335
CEEN,120,83.65833333340834
CELL,65,91.26153846155385
CENS,452,78.30973451347124
CHBE,4214,76.98860939720122
CHEM,11582,73.94223795545501
CHIN,2940,77.17312925165749
CIVL,5692,78.7438510189343
CLST,1675,75.40835820881072
CNPS,1211,85.25846407933113
CNRS,169,76.84615384636686
CNTO,377,81.67374005261804
COEC,539,78.34137291283673
COGS,719,76.64673157194437
COHR,160,77.900000000175
COLX,207,91.20772946856522
COMM,23273,76.30868388257713
COMR,1739,74.75445658438413
CONS,2008,82.99551792841584
CPEN,2577,79.34691501750368
CPSC,14187,78.21724113621302
CRWR,5900,80.55661016940326
CSIS,106,75.6226415095566
DANI,17,79.23529411758824
DES,1090,82.45229357787248
DHYG,135,86.61481481505926
DSCI,4128,90.4190891473215
ECED,834,85.66546762593644
ECON,12070,73.29925434969795
ECPS,12,58.416666666999994
EDCP,789,90.56907477811025
EDST,389,89.61182519279436
EDUC,212,88.01415094365095
EECE,495,89.07070707076768
ELEC,3880,74.48737113395077
ENGL,6604,76.03225317996473
ENPH,313,85.28115015969648
ENVE,206,80.29126213579126
ENVR,313,83.49520766774121
EOSC,6616,77.34204957672293
EPSE,1861,91.02901665772708
ETEC,873,89.14662084778922
FCOR,190,85.55789473659999
FIPR,496,82.32258064530042
FISH,51,90.47058823537255
FIST,938,79.68656716415563
FMST,2410,80.14730290444565
FNEL,118,79.14406779661863
FNH,4221,82.24994077221774
FNIS,241,72.23236514522821
FOOD,274,85.56204379570438
FOPE,21,83.09523809514286
FOPR,96,83.17708333357291
FRE,768,79.98567708326172
FREN,2699,80.35865135229344
FRST,4533,82.05625413636909
GBPR,15,94.266666667
GEM,201,90.98009950242788
GEOB,32,83.6875000003125
GEOG,2856,74.51925770307739
GEOS,1740,77.88620689658849
GERM,1234,78.7901134521086
GREK,56,79.07142857151787
GRS,8,85.625
GRSJ,2050,80.24682926828632
GSAT,22,90.59090909109091
HEBR,12,80.25
HGSE,46,84.17391304345652
HINU,19,81.47368421084211
HIST,3966,75.4162884517917
HPB,89,86.68539325870786
IGEN,239,81.6108786608159
INDS,14,97.714285714
INFO,214,81.43457943930841
INLB,17,81.76470588217647
ISCI,333,88.62462462472973
ITAL,458,78.29912663739955
ITST,180,81.16666666667778
IWME,25,87.3199999998
JAPN,1233,74.38605028379239
JRNL,348,83.20689655173562
KIN,7900,80.41886075951557
KORN,262,76.96564885501145
LAIS,6,85.666666667
LARC,565,84.6477876105168
LASO,259,86.328185328
LAST,46,76.58695652180435
LATN,243,81.25102880628395
LAW,5014,75.04745120490209
LFS,1584,82.66161616164078
LIBE,162,87.40123456811727
LIBR,951,86.26603575189799
LING,2945,79.59762308992869
LLED,1065,82.44976525810893
LWS,112,85.14285714283928
MANU,435,76.057471264446
MATH,18459,68.48447911583227
MDVL,84,73.90476190483334
MECH,4318,76.1232051876651
MEDG,206,89.66990291257281
MEDI,73,91.97260273943836
MES,40,74.875
MICB,2590,81.78069498057336
MIDW,340,89.37941176470294
MINE,831,79.34175691932371
MRNE,45,91.1111111112
MTRL,1642,73.3306942752972
MUSC,2685,84.57839851027374
NAME,133,89.8571428572782
NEST,126,79.54761904783334
NRSC,30,86.833333333
NURS,2735,89.24643510058905
OBST,31,87.32258064519355
ONCO,27,90.37037037
OSOT,320,86.003125
PATH,491,83.87372708757638
PCTH,506,85.0731225295336
PERS,101,90.0099009899802
PHAR,265,86.19999999987925
PHIL,5971,75.44515156576054
PHRM,3952,87.27049595144611
PHTH,1215,88.15637860089959
PHYS,9019,76.03692205354056
PLAN,991,86.99596367301615
POLI,7215,75.66015246009908
POLS,10,84.3
PORT,113,81.62831858388495
PPGA,812,85.31403940882514
PSYC,19586,74.30552435409147
PUNJ,102,90.30392156858824
RELG,492,75.1016260163374
RES,119,88.2016806722689
RGST,65,79.99999999995384
RHSC,275,90.25090909109818
RMST,159,81.10691823890566
RUSS,354,83.56214689270904
SANS,14,86.071428571
SCAN,199,78.3919597989397
SCIE,678,81.11946902654277
SLAV,35,82.514285714
SOCI,7606,75.82895082845953
SOIL,64,87.09375000010937
SOWK,1217,85.5439605587995
SPAN,1550,75.57870967762645
SPHA,540,87.19074074069074
SPPH,1811,87.40806184436279
STAT,4260,76.90140845071244
SURG,101,83.65346534655447
SWED,85,78.61176470584705
THFL,38,83.605263158
THTR,1136,84.14788732386177
TIBT,11,85.090909091
UDES,159,86.08805031450315
UFOR,857,80.74212368730804
URST,153,75.75163398719607
URSY,51,86.45098039198038
VANT,506,74.40513833976681
VISA,1844,78.66811279833514
WOOD,937,79.64140875140448
WRDS,4740,73.58101265807825
ZOOL,7,90.571428571
